phrase,image,category
sweep someone off their feet,42325763997081542001403290360010636395909693823284929953970669024481902052692,Figurative+Literal
on the ball,105401614646446286869426264217110261423376414519769408050481102363553944220045,Figurative+Literal
word of mouth,88213470193866210931962166687501296795803790316607343578771752737153616290637,Figurative+Literal
cross swords,28759000124071926622368874180101868577102844256967695584674109348310573946571,Literal
long in the tooth,46543250475739261993640752634396709579620033069434920966908496686012607053430,Figurative
catch a cold,21580948735378811718363557255603963522406636549549978003468617840239056202376,Figurative
bang for the buck,33266418121884296223905582801220770464165356872741607724677846745815580790830,Figurative
take a dive,95674765376242481618276909174230612787769459198498113669438070182134321684076,Literal
whoop it up,35242170125227735519214995933830411956448783878609364387319428636247798154192,Figurative
throw a curve,48831222299655862055215673786430593296322269356419137406354611945926780603737,Figurative
fight fire with fire,93658172195427817498647039774807952028612944131509089664877289407697369060547,Figurative+Literal
put the cart before the horse,77390587394120678729686612260956474970660687363017379052268031558419705949211,Figurative+Literal
the bee's knees,112458213146930906730026187374659765345321634606854297957736982589209446556407,Literal
throw the book at,35811023305394641041177216846594156266167661404639416351609083944294254510064,Literal
slap on the wrist,54573025170963965442598334470527343384225770017635890718981890685922534863889,Figurative
in your face,40330377293515662941444414864360869011663544744739433783099588552183299055385,Partial Literal
lose your shirt,8186424208589016530493384534786206246046069069398235018276377355204941463634,Figurative+Literal
jockey for position,20798786001546546092217580426073432957498261333032518336296479632722762445772,Figurative+Literal
fall into place,115525458355827251759704480804613284205998483047420393397827763311477885467347,Figurative
out of line,113566231359691280006404747766270596602656892720864086724988535856801924777148,Figurative
white hat,108716480408198791535391987245701762473555015399879167080437525496687777724120,Literal
move the goalposts,12728186252203679599893048221146441687612713066026478106449287309562069562148,Literal
bright young thing,5632193848889751113788304193652869928952670726095940550137115421415544928294,Figurative
in two shakes,62833612702957812714582705949109843923081393009996052055256041630193335486028,Figurative
have the last laugh,1021249671061547033596902025951541494321181678137958369378679713496988385018,Figurative
beat swords into ploughshares,41902644178208276067476595274333636996675260635039420632797897169919387889527,Literal
catch the sun,63280573371895717956629508182958882832563792601489610448088374984051112281222,Figurative
knock someone's socks off,105852736880898742269001332744746921170229226298689392159636881394722492833486,Literal
the ball is in someone's court,54971756181770067005841058937305562794466259189944571318533732143254747107350,Figurative
turn tail,52163414980787019724823863724390578838783626254720284570892114920742348552778,Figurative
play games,105120915463394804998699284124203899924465801445722971941596818915290297044660,Figurative
fall short,82401215572508435786610789713029660419007920647762557394513590995931735196666,Figurative+Literal
easy does it,14250914342607381000341199160610759963941939628912887892485929672196014426785,Figurative
split the difference,28221265333473046172274443451363258960463289907314373005654769066423193407705,Figurative
it takes two to tango,100155510940978906988373848499386950910067732510615183356024841968992534542877,Figurative
on the ball,60781983089035472863831560094761757730956170263121096139342979874324158048784,Figurative+Literal
pay through the nose,101096939819574170898643936917277818204155405530544385800342847922292379661578,Figurative
bark up the wrong tree,43397674387668288948037643345395495023644493424126955352726371563871883018712,Figurative+Literal
on the ropes,39154441721619211634785820456639039821264380621604261966610652239950241610813,Figurative
set eyes on,16303333200954450959109497947057468333618985628109518039433154505177865305428,Figurative+Literal
burn rubber,97120628349859379696240103619584576292896488770796983540980210193547158254903,Partial Literal
throw a wobbly,31483489612109776940462826420400602558974734946130748703609214944634244209327,Figurative
in the long term,66378510161623231206724155035739868841326231257881444776648049608231383696757,Figurative
set eyes on,52064844319214183618955853051853282086455181789969914534282437078913666828979,Figurative+Literal
take the bull by the horns,28648446336242562429342643291806433242547945941618665636777918709147086912824,Literal
dog in the manger,44294342318459415205936331387984339582806327684613642935078190791680994350813,Literal
have someone on toast,62997982135240433585848907807053896288088288065315496996591395041561633954111,Partial Literal
