phrase,image,category
jungle city,4447088438169418879078435135010812652611074687730645623208218372414280458922,Partial Literal
jungle city,20027624539947543544146997552597496916503077969546221849629016818931069190426,Figurative
a night owl,77163850685646165204344301745374206689099678370978394546610547867113402943199,Figurative
the car is a rocket,71444779304200940396660887272792845092536386398468140470565666810070619659471,Partial Literal
sea of umbrellas,47915931312147238523728170654609543286710305867879553309118630701669318126563,Partial Literal
sea of bees,66469287110527856716109039844609319625678741050833836194062917327445454439096,Partial Literal
he is a cheetah,19509394907139808738643692448162744630966971806078999472522411642487631527341,Partial Literal
their relationship is a house on fire,18056377971270081610999485557305595158950663402997603682729944356535609472622,Partial Literal
he is a fox,27361479466373671403690064196119584812225999687664223887904497585104181462396,Partial Literal
he is a fox,44192492258844283821803622558895907251526123110282061135160114627324254200813,Figurative
a shinning star,70446032795227170356792818082897792004380725808759269779366312295276326673689,Partial Literal
blanket of bullets,42691395060863888190729309288664549397174018007984991267219469955027217052726,Partial Literal
homework is a breeze,10458492110125274951808653411601703242175988851533364334242881004933965170911,Partial Literal
their relationship is a house on fire,70860022884621139626323620149273466871360803352681491044550691176757861712772,Partial Literal
blanket of snow,17034850149510343357703130632542093049968005451163727696523732289074424690458,Partial Literal
eyes were fireflies,807383759111359014275551872731205098642671050503014123041725263470981996631,Partial Literal
home was prison,3408264338758151165475123943325623711820452335611003484041443211332355828567,Partial Literal
a shinning star,22186675713281614554440124499530289853779096092373310585632083842763417770472,Partial Literal
sea of knowledge,6057647883457618803622872007796196774621894427749845386374625331477886209582,Partial Literal
he is a cheetah,104675623833471489097405819302144000794112268678758016985926456789684284966340,Figurative
he is a fox,30953313270761213394590159818887283344179422417615931577879110045032863743675,Figurative
heart of gold,91415018377464540770919213225303546975657116685955076879563313548732849002649,Partial Literal
a mighty lion,2052065433081114296692006683763741908001865280108911457391800562538819662800,Partial Literal
heart of gold,98766807066870182766049325048171029795476749170177559319932560038039790819207,Figurative
she is a snake,2984826685722053470422864679936278841862323621580833504400986082822968806371,Partial Literal
home was prison,31029733209474939498478651664146271020336633646137583543978380396123431577046,Partial Literal
walking encyclopedia,48378769398197012176269089461906449168836193274105353215679112475995558703522,Partial Literal
wheels of justice,41287841180149342519952318734163306229303423890047206159752980621446712450617,Partial Literal
homework is a breeze,98897406001775900369018891291754933285535378255721025163240380029962817590939,Figurative
home was prison,11505842631954381344391028358506191294672837310076074549818843466507042384185,Partial Literal
sea of knowledge,54221086363564514761141251742782782364593418891238727838113572567972770822859,Partial Literal
heart of stone,80142985244509977396806979769681896610458317244817374209091713862571530457514,Partial Literal
