phrase,image,category
bright and early,24452707214374295961139212507433748377844098975962609614181950493855041295010,Figurative+Literal
get a rise out of,104891266900626783027281477255408768199374063977095807847612569249090277226259,Figurative
lift a finger,105630792313052583375153016437907916158434106742804870795694166722969200887828,Random
twist someone's arm,95279579548212667364122738405673056240518276486953836973493116770994853481704,Figurative
round the clock,113200046471715006290926599644326731759138112371370834405604955853980500045119,Figurative
at a loss for words,39206498038956786855190444010047750243930957106184557728388137379177615183438,Random
turn the corner,78946810211510974049207723148215626277788338072899946039355274673260066133867,Literal
go overboard,30694011519021942248962369419769031234646661826582667514320094569615132511718,Figurative
shoot the messenger,35100580753770125212400818305211945264066279245508125961340678157003051642730,Random
meet someone halfway,54558876754847527243458101361797981143197353704746432415279430166917210389501,Figurative+Literal
on the skids,72543561787569117685971694001050686293228983407162119918275019706827404815883,Figurative
turn someone's head,3017882822363297529675458004816870896887131288589274704749003600043565797255,Literal
in the swim,53234812649406766975685750316955324315214568462036306323577752852911100770540,Figurative
sit tight,64960884324587734179700544681528363089778471520771300414606718909564998589222,Figurative+Literal
bounce off the walls,84304892222750037775169453792824171944800476558595395009757700238159720128468,Random
out of sight,61417330300817840494722745269688194282962444186015589088590843417564892098341,Figurative
fish in troubled waters,81306934027313372102318723654985681021566353970072631585569594392841023664743,Literal
sick as a parrot,33853022063199616462245063820847139940303133738580780915937110040480042507486,Random
go to the wall,69803393742774007049242278630837630953344549508306932733620263059853039346095,Figurative
be left holding the baby,57815297875986963922093451655039670157630683093415531833711176157931377222073,Figurative+Literal
under the weather,19588087173320350915150925028007514821494830196816042803979846553942766305140,Figurative
make head or tail of,98687343601755331482715387287687334395966640741186663722761237142248347858332,Figurative
make the grade,76841117314709677843991069574678816391750537830650112831747767721335951863750,Figurative
fill the bill,4777452158700389311845711038833113970355032069986831348721538435504722137698,Random
get stuck in,56469584681354078438614649460672872999900094852513892108039217076384838290873,Random
cry foul,43155507761733913446971287969772460775070477697195355982918470301811006389193,Figurative
all dressed up and nowhere to go,16973080595728416584895070382729255236178960287003223813481099768353252919726,Random
between the devil and the deep blue sea,47685616903817537585296992659191401327152552543948440529352182540613509492145,Random
moment of truth,4760273821933850370436945283822086090119997845076169392256513997234552564936,Figurative
come to mind,22105630172323167323774978019540833153196953305384094482766768710121418183641,Figurative+Literal
ask for the moon,31012618776905863528812437054332846428042389533009939011925276485666911620563,Figurative+Literal
break the ice,49149505105943441635951321350355815530183151574997767046802373113863802328255,Figurative
up against it,84446326033589843365681520781729937925455763144108850210604426855149956600421,Literal
play for time,48827788227448061976430540571323078937710261043049170018242090977688628376965,Random
on thin ice,40066043483166555139408794594782663842375089643267427907844938526119105733205,Figurative+Literal
ring off the hook,6774480785316049041077127402741587206521585584776308859031965202575814471155,Partial Literal
carrot and stick,108161580605118169420494017975659861939951405561373372946769203678428344623197,Random
night and day,111396409796292276708406852108510978000856392471569177094549152588244740748640,Figurative+Literal
body blow,88636790934260183145818292066431508656508565284782059337856937928163966787914,Figurative
let the cat out of the bag,38658518844745068766447708144441292986669077180940669844419288059847259195397,Random
green with envy,39450050432874715131816113245564041456531844208463419742016944513539138774463,Figurative
tread water,29854491516273898816445832517293122190965775043086144022523704658077500014368,Figurative+Literal
make a move,114160625543584429049432248617035147106518347722395588961443050303126578766450,Figurative
cold comfort,88213908730844008970133580062067173146397328693591314574987703816079523973211,Figurative
out of the box,92717968874028644410110511279929516746165325527600535358878486895788913571769,Figurative+Literal
greasy spoon,76093140351844628714807849708314620260267317041985326798661830052199181967187,Figurative
hold your horses,106014087986831305892904226909258803401827509657240387956126411980401948656663,Literal
throw a curve,67729121581271376803721057429048539096651789400839848261740844962147583334978,Literal
lose your shirt,107686750117095808401347041137824773449757410844779916358028744980983398297827,Literal
make a clean break,43203359458349351157394652527751192892694464022272382528547220582338286849439,Figurative
split hairs,53752626115200570982347038805739917903310451640813360872516153836989834737902,Random
shut the door on,100800516018196495179180347807430039486585086742268506776419294171012684920415,Random
meet your maker,43877986073035096692978399156201544507475853065808337939622402594324763570189,Figurative
money for jam,111669932189873493530421845897391370968845812728265911529773262810927820956297,Partial Literal
banana republic,74371080982175839847670255130532439508824045737937861120858707387093979576837,Figurative
long in the tooth,1861693862930406349047201978842899542607814738836151559356192323585734424584,Random
hold the ring,83926708919346949890705555480801102024457409694115282932132203779268111625654,Figurative
hit the skids,85602680767828648827298111763694019335635711597690870138019636840170427963485,Literal
have the hots for,82160775371209367642318916588299676334840388729099934045015196101357531126015,Figurative
the bee's knees,112458213146930906730026187374659765345321634606854297957736982589209446556407,Literal
roll with the punches,110547611631670985311328162075839475046214062321791226253034477011274063450967,Random
in the black,57873658388236267831475280932954984654002666519716899993145256906908304793699,Figurative
throw a curve,75516185471700742292506336069436953994412192797082728694529155506277604172347,Figurative
bark up the wrong tree,91221027330278950539526331451007442948919985192789109509224850962736172932620,Figurative
under a cloud,48555910834376260192828485122137616345276810704554559965376651964068575859865,Random
for my money,26377566377603414469631986126288443342044572032698051270082164662266805209059,Partial Literal
have the hots for,106124930879473331783465645274503270233142672938610178574564868623244533555622,Figurative
take it on the chin,48636849989133802017773295261486627150993632047788093525803740026522854393710,Partial Literal
night and day,46030429309624820668470070770517247256837478089342403378009474408233529048019,Random
one in the eye for,67932550533029446184622503127550397588247241436881994556997103362921602343221,Partial Literal
away with the fairies,57151374849338596063030235260027415106357016703565842737996143508029432006938,Figurative
show a leg,16816862246195747608473219352130211889793062556147543093453688636708098281253,Random
follow suit,9185142557705101547520515061882632848124652721902634984635086897334577943255,Figurative
by the book,103781497078811034386661727140610282511286107541126412799600654866221493001533,Random
in the fast lane,103914548140017255582617554918522137789273216484850923375502698952189667932878,Random
on thin ice,73776881281878530420336901256186375303367480178226411691626077908101013374335,Figurative
in the hole,89073275372928611334222675833663836676741122785593510492330679049983942918438,Figurative
chew the cud,89224715465079525898242805150719041741065435996946916309568089075617168782905,Figurative
put your shoulder to the wheel,61846366386755589578219987614826869529534948636529568771284642867253738691584,Figurative+Literal
banana republic,96503905837153698603658429466635305802367579988504730840934490456151457998974,Partial Literal
bar none,50374638876358288899923818353460320579229688753281739965720732721220064593820,Partial Literal
from pillar to post,109986327419431870732708733705818296601925603329200536504008300606212259153987,Figurative
go halves,49368062018069212605829056290624797739943710518956854443954521100076381259469,Random
up to scratch,35380806311257603233466944959797612006833600282553795092176447276363826905532,Random
peaches and cream,46758394233428438543134564302950001902719039822529596938115230789478364379,Literal
hit the jackpot,113948358441409906360200132780078794588428099745850465116954584716050872750735,Figurative
send someone packing,38506953788903802426356518845067561806931016835608167934809144188940071174507,Random
turn a blind eye,33649966980564752522424501108796651233448896822896346552591355796606256693836,Figurative
left and right,46180317506427720732236501765296544993744658974617264986551171793207434572973,Figurative
mend fences,2165247389507206262598096460929488732837941456569808334901604242517486638869,Literal
beat the clock,105742132903617750292424446550680961305127308114976918526904927610420436957875,Figurative
upset the apple cart,83809078251502522601569535844456846653383321788665571673871093621116274827204,Figurative+Literal
blaze a trail,22141617141688838633427551939362009494622316000771185518526346746447198650319,Figurative
burn rubber,29530902437920348610342061425171635722069341569989528771869964652533147385719,Literal
on and off,100807740721141005440677154558035117825000002730425972402104304354568003923921,Random
sit tight,24733998584109752693103391810353427287166307932945575518991203105380117009193,Figurative+Literal
in the same breath,42221264106030804886640489177984710201697700462027439411874740287372450966424,Figurative
take to the hills,45755566431416388926380976840323026256712510902614069937257913045651396354438,Literal
fall short,43150804168616952620630157677326809783666105284585545764692685504023177800466,Random
put paid to,48074068394737243388586306848446576727803795418937098424612180188428570543895,Figurative
kick up your heels,104331923562586819925048163339913859587278459242529733901502617446547321641606,Figurative+Literal
prop up the bar,12421995956397534983120216381660263330285483310118071437835212330596773061789,Figurative+Literal
walk all over,36004673134543550322687159363128525978478027494601949196048704936694834953785,Figurative
change hands,65234589685613475948919379511512394243846901871154894304133373361774190653303,Partial Literal
grist to the mill,62749662341301477945834582880935462159387538800250352066959485434152814076511,Partial Literal
pour oil on troubled waters,67964354557857819068764060505452162272833437995224696418677865623078472841543,Partial Literal
make a monkey of someone,57272713574154159437960250678368279795483183789849548951946408924957829433701,Random
in the driver's seat,75069127374436934835054768438578084147091800479109324456655087427929796368885,Random
pound the pavement,24466069596256542390229714788533331147481730924055656931020865680045371339964,Random
give someone the slip,35023370659045150120027525212084208255567877316536926788010074683149235557019,Random
take a powder,39734079320913093723094931387867422051028840965650431950960607946406371777868,Literal
smoke like a chimney,92334909399274218154145322500977334301962293989954082901977245473395277653744,Figurative
all wet,47937716939250477639845965346777745523355801613677649309371757411994947828455,Figurative
ride roughshod over,43702317068359959219932383541927938521344579305057465533910039094957349539741,Figurative
get a move on,97997205941985739452179572099881146717703643870288846053987601530106629141042,Random
throw the book at,98968747879370490403589774770978024526453697314007065250942519586448164279288,Figurative+Literal
show a leg,4287825605057289295586482385401859694184022202033011432291056386723379543761,Random
over the counter,54634615580579690157746171508034517545034581974686723840592370107542467861386,Literal
night and day,52973493116590730482579602223280198423181598675172045111482180158560087659390,Random
out of sight,46270141491697837628903280393113082853532532453722163538411470395135654089519,Figurative
cost the earth,95107833587697980835145662514525569440363729398252561431982117897728573003313,Figurative+Literal
split hairs,37898633653073581630520377084514998591618487134459994597101783273654180555587,Figurative
high and dry,100745493479964137656470227216129627118601304955381379705004556784257705010866,Figurative+Literal
few and far between,14109328229944249617875564885863472550974767480652184470980551589737244754803,Figurative
get the nod,15634256512696692464057531150338176499496731045806167911563922092192227018685,Random
get under someone's skin,111807668395000642099357738176176708673934346717518011419005564163309275487059,Literal
out of this world,91275388068076907946645752797242675822040063246993770599668537500487986232824,Figurative
the joke is on someone,31884218054915618755329616947693871554155917545827658504527317422776509251513,Figurative
cut loose,6995174455827564860123145537991425995140121991366747321891194090060328157488,Figurative
go by the board,62662156985162489381337575196694051792013911991374304793891988498962959713666,Figurative
dish the dirt,26701590761110874752626157249674388469636246094392449883535611953171792946697,Partial Literal
pound the pavement,79246021631551320269088119227374782824350505252709370098147740533160193080364,Figurative
hit the ceiling,15585134437114562625675387267968437839146382876179196354405457573929100968081,Figurative
stick to your guns,21034083933924284669250203183184019376559069345279524066043178423192519333015,Figurative+Literal
to a T,53380678217581214932969821785014520474435157167960978117442200956261045566196,Random
put down roots,378513407063151831620683310663731763294027238989412012106977620320940599157,Random
on edge,36033025390379610172341625121096161204080986345175276788351227527929417201676,Figurative
buy the farm,38248629071349634810673909522014152465398737253159505652790866531521829468276,Random
come unstuck,95008777162900289845422456132483984131444590074037079851121487072325329206676,Figurative
go to town,22359212116460590922679901162913294215090902851072543331741655234453198887487,Random
sit tight,19852882682642364260929910788769282087956009985421488744674249106316575248858,Random
one of those things,110219562907458875505703474835527401741416612682189172070210942420469952057107,Random
spit feathers,32848004944124539390629461264286922202727709124689171850865447651268339550883,Literal
not cricket,9299544494657484853456409241637169662023132252975341667014325666526395850716,Figurative
hum and haw,109273068089309769795917930131446975916445444848762134580774145952721511550626,Figurative
pull a rabbit out of a hat,36564762953664316838921282542530259660080193384758305268320110129025908312215,Partial Literal
hum and haw,24235455090984007999632846569480719398251937645125667553052948503538250693475,Random
six of the best,50697059273987929714108958393384193367980430971710243864541988331168070863005,Figurative
run amok,115517027612063641134886928932403547486444135818356815324128548838472312669391,Figurative
steal someone's thunder,64793735484029926692081903032989524859145532397923604138222493572045645628161,Literal
add fuel to the fire,81416777364542921284471484608680912846683166012774185050926977185694761417326,Figurative
the ball is in someone's court,34143189411056885499703743502919607831499756105172447268993980312214467244755,Random
take the bull by the horns,3689433877083711432962534203255459020941541730910368185816371113608136872118,Literal
give someone the eye,18591522242407021442963463304852433886014675244922227214781163989199658839006,Figurative+Literal
could eat a horse,71801258502681488602831077632316555721844383299086354760095076211415887535956,Figurative
not cricket,8619652344880490734536884580657534714215445986772476731183640023713055195777,Partial Literal
dead in the water,60015986129322220831892085250634597370041257385297241703530884304135472357931,Figurative
make a move,68336340799703975218060571835554923484286910550424405591820019639913606044047,Figurative
come to mind,55416152811714667931872486034340798427904846872015920490202405788918777313412,Figurative+Literal
run someone ragged,43738367705721005299779092030527755046583719988991049222758118043393923886490,Figurative
walk all over,40550559281766698530181602245670988156647664785169465084774851584192309973550,Figurative
go bananas,26110564365786749217502561695373061485970568875062058206946943173206940306552,Figurative
steal someone's thunder,57046625631548819481464517962047844489346395404451284331725086392823394162478,Random
come up roses,4998894592823858821678540613942351849304295054811154762805443363615044287906,Random
grease someone's palm,76377827865436661212453873427526812577383459795067132708504250589874462695638,Figurative+Literal
bite your tongue,29837324100234207601263443097101611863047386535578712621069875945497808537368,Figurative
hold water,36472368650120429458041616343729522095338394891672313007197645813992850554211,Figurative
rub shoulders,68099188516451638020881065768195622724855863591024478205040106710622860287913,Literal
bang for the buck,35747145903017752871420440592739420437064977645937656071396898589056542850053,Figurative
change your tune,3969594754132431003307457856163470812706430389671310709771700018891067153039,Random
all over the shop,86948765896248898741351880647330253600989176220544971016571279901801633634121,Figurative
fall off the back of a lorry,5051781598776360584641772101533831122408730107689329775634139189649535433648,Partial Literal
everything but the kitchen sink,96739038346950831477810231880319158673386082533738042608410654815080962210404,Random
come a cropper,87605577558883840260697778111842250916162192820093173499285190422760503704860,Figurative
all wet,80576148965394487027964834627752218604831464991438436968067383172082982284669,Figurative
part company,70883773959635896007824888522113549552549723000526709228391324833204279986425,Figurative
part company,17641140469950944721892221290134050160386803288327084147879192007475322139,Figurative
get a rise out of,19956255782132744406517271759493584939217542066360584393003693787996206905160,Figurative
leave someone in the lurch,65997769106703923636739690214615144216772140730768450387505663671087326884097,Random
get your skates on,26812677266056379012861787347383323207344074833616242413195940275897854574001,Partial Literal
on the dot,12964294081472480557409675852901970508880459404769782909606444627661720023762,Random
fall short,7934328243977553910457861926970152736863423824827256887717589588971009072038,Figurative+Literal
hit the ground running,17260080492942544843568067713911342080467406986020303559318232935167154850946,Figurative+Literal
hold the ring,36986439000895474853967179940712235811748034939035148753487266371514308050549,Random
put your shoulder to the wheel,30025725823958891001358337428536786070312440906352118855336538926282493250226,Figurative+Literal
on the ball,72894542964987610195679223110243416248001894873763633739938194686968836879181,Figurative+Literal
all in a day's work,10552712363332679418501506998055635463364507253683149629292513395981499139919,Random
keep the wolf from the door,68506279055744287955133605364855185126469943338401327106761723936753519329054,Figurative
keep a lid on,106608784900414821067098766955591675502171892722553549270003621135978062506402,Random
turn heads,31841852818965752488338946572739701555529265736259301726347612798541249398178,Random
hit home,112535415592698635477079958898105671032779509104016785731221901319967912677923,Figurative
out of the box,77610663018700274220277414553979597337382161852789447798101651863090977105999,Partial Literal
get the show on the road,12601782932774747006392739251759952942765817139249099287523848798789751784619,Figurative
on thin ice,56803111806510231782402090209790243827164102403451792439072720721245232792708,Random
smoke like a chimney,25063525223852225092698398491934941950986850756868873402102606931346723040235,Figurative+Literal
on top of the world,95440305358630796702093246217757309371237936877200748979871195365295901132321,Figurative
on the double,67963463904361892132593003672912846934198189549648920736795185091583022434526,Random
go to the wall,8754595703863320435164083250274687136342569955109036739687456688197063589702,Partial Literal
on thin ice,100474280077763158552862623476861373113428532650387117860285088600542650737431,Figurative
cry foul,57281982026591978187549561719647825078071958685644833204779288889371179608456,Figurative+Literal
place in the sun,3566796805735368096790107232806300756038753334922721491598125007810713286186,Figurative+Literal
dish the dirt,41650152970329143050907557611901255250285995793719205471049100402716684017016,Partial Literal
bark up the wrong tree,11663725499442433199293660851533957299717177413428113303034475541188600463462,Figurative+Literal
stand the test of time,55816797022336193697634789473637106033450109687229419977003282211172760494532,Figurative
kick up your heels,85895073170318336579454940149389641688737267549173355957408420872156896104327,Literal
off the wall,67560856295868897760516290970494336065016814554113677637323797715161941829067,Figurative
bow and scrape,67889302205280476985545969181518529181473392648459043869894136451430829590408,Figurative
come up roses,95874960269596283362429722848458013266454593293954269210117097656704487307065,Random
everything but the kitchen sink,54292438440201437825354378701709030803509604514831079262166782994231128139396,Random
round the bend,4353392002468827649784386699187583128910760276363818039479533652884950799296,Figurative
second childhood,4993944708467944918348976473629117807693518898307438826793086850661890309926,Figurative
twist someone's arm,114117466062961622100061426355554549653890585837950189553781278402122860575256,Figurative
take the count,81719789775694408196336951840128579295854483507227078012065063171838599621431,Literal
hack it,23841609366833508869682121829399720164982346909040894527113637332871154563434,Figurative
pull out all the stops,81076806668719261124890507966502617619775631002282784003462239774553080010340,Random
keep tabs on,52383574087046513373963147674277448696246189754562152507637119447061792911507,Figurative
night and day,112466623941509441366976590948755033201073975556527585005779532101780598255976,Figurative
